 218 -278 3QQKA node278   35.407
 217 -298 3QQJA node298   35.632
  75 -292 1URCA node292   37.974
  70 -307 1PXNA node307   38.170
 384  332 6YLKA 4GCJA   38.414
  13   10 1FVVC 1FINC   38.868
-297 -299 node297 node299   39.504
-295 -300 node295 node300   39.826
 257  253 3RK5A 3R9DA   40.304
-282 -318 node282 node318   40.897
 -87 -304 node87 node304   41.107
-311 -314 node311 node314   41.853
-277 -279 node277 node279   42.107
 355 -296 5UQ1C node296   42.187
-290 -294 node290 node294   42.478
 376  249 6Q4DA 3R8LA   42.716
 -27 -273 node27 node273   42.736
-312  273 node312 3UNJA   43.146
-315   67 node315 1PXKA   44.310
-280 -301 node280 node301   44.689
  84 -310 2A4LA node310   45.100
-313 -321 node313 node321   45.633
-281 -308 node281 node308   46.353
 207  176 3PY0A 2XNBA   46.425
-293  227 node293 3QU0A   46.693
 221  260 3QRUA 3RKBA   46.877
-336 -320 node336 node320   47.901
  56  174 1OL1C 2X1NC   48.996
-306 -322 node306 node322   49.286
-305 -302 node305 node302   49.518
  61 -316 1PF8A node316   50.416
-323 -303 node323 node303   50.704
-327 -332 node327 node332   50.785
-319 -329 node319 node329   52.376
  11 -317 1FQ1B node317   52.393
-190 -337 node190 node337   53.791
 208  203 3PY1A 3PXQA   55.080
 328  268 4FKOA 3TI1A   55.247
-326 -330 node326 node330   56.009
-341 -345 node341 node345   57.426
-344 -333 node344 node333   58.032
 233  324 3QXPA 4ERWA   58.533
-331 -340 node331 node340   59.369
 269 -335 3TIYA node335   59.919
-324 -343 node324 node343   60.531
 325  263 4EZ3A 3RNIA   60.965
-346 -291 node346 node291   61.024
-334  232 node334 3QXOA   61.107
  86 -352 2B54A node352   62.107
-309 -354 node309 node354   63.067
-328 -325 node328 node325   63.077
-347  213 node347 3QL8A   64.194
-338 -351 node338 node351   65.053
-355 -350 node355 node350   65.703
 329 -360 4FKUA node360   66.299
-342 -348 node342 node348   66.836
-358 -356 node358 node356   68.769
 224 -359 3QTWA node359   69.939
 261 -353 3RM6A node353   72.861
-369 -364 node369 node364   73.256
-161  326 node161 4EZ7A   74.460
-361 -339 node361 node339   75.710
-357 -363 node357 node363   75.772
-367 -349 node367 node349   77.369
-362 -373 node362 node373   78.118
-365 -366 node365 node366   80.496
-376 -368 node376 node368   81.521
-374 -371 node374 node371   84.955
-379 -377 node379 node377   87.207
-370 -380 node370 node380   90.648
-375 -372 node375 node372   91.343
-378 -382 node378 node382  102.369
-383 -381 node383 node381  110.988
